Age,BusinessTravel,DailyRate,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Department_Research & Development,Department_Sales,EducationField_Marketing,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,EmployeeSatisfaction,JobLevelSatisfaction,Attrition
41,1,1102,1,2,3,2,5993,8,1,0,8,0,1,6,4,5,False,True,False,False,False,False,False,False,False,False,False,False,True,2.3333333333333335,8,1
49,2,279,8,3,2,2,5130,1,0,1,10,3,3,10,7,7,True,False,False,False,False,False,False,False,False,False,False,True,False,3.0,4,0
37,1,1373,2,4,2,1,2090,6,1,0,7,3,3,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,3.0,3,1
33,2,1392,3,4,3,1,2909,1,1,0,8,3,3,8,7,0,True,False,False,False,False,False,False,False,False,False,False,True,False,3.3333333333333335,3,0
27,1,591,2,1,3,1,3468,9,0,1,6,3,3,2,2,2,True,False,False,False,False,True,False,False,False,False,False,True,False,2.3333333333333335,2,0
32,2,1005,2,4,3,1,3068,0,0,0,8,2,2,7,7,6,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6666666666666665,4,0
59,1,1324,3,3,4,1,2670,4,1,3,12,3,2,1,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,1.6666666666666667,1,0
30,1,1358,24,4,3,1,2693,1,0,1,1,2,3,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,3.0,3,0
38,2,216,23,4,2,3,9526,0,0,0,10,2,3,9,7,8,True,False,False,False,False,False,False,True,False,False,False,False,True,3.0,9,0
36,1,1299,27,3,3,2,5237,6,0,2,17,3,2,7,7,7,True,False,False,False,True,False,False,False,False,False,False,True,False,2.6666666666666665,6,0
35,1,809,16,1,4,1,2426,0,0,1,6,5,3,5,4,3,True,False,False,False,False,True,False,False,False,False,False,True,False,2.0,2,0
29,1,153,15,4,2,2,4193,0,1,0,10,3,3,9,5,8,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6666666666666665,6,0
31,1,670,26,1,3,1,2911,1,0,1,5,1,2,5,2,3,True,False,False,False,False,False,False,False,False,False,True,False,False,2.6666666666666665,3,0
34,1,1346,19,2,3,1,2661,0,0,1,3,2,3,2,2,2,True,False,False,False,False,True,False,False,False,False,True,False,False,3.0,4,0
28,1,103,24,3,2,1,2028,5,1,0,6,4,3,4,2,3,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,3,1
29,1,1389,21,2,4,3,9980,1,0,1,10,1,3,10,9,8,True,False,False,False,False,False,False,True,False,False,True,False,False,2.0,3,0
32,1,334,5,1,4,1,3298,0,1,2,7,5,2,6,2,5,True,False,False,False,False,False,False,False,False,False,True,False,False,2.3333333333333335,2,0
22,0,1123,16,4,4,1,2935,1,1,2,1,2,2,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,3.3333333333333335,4,0
53,1,1219,2,1,2,4,15427,2,0,0,31,3,3,25,8,7,False,True,False,False,False,False,True,False,False,False,False,True,False,2.6666666666666665,16,0
38,1,371,2,4,3,1,3944,5,1,0,6,3,3,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,4,0
24,0,673,11,1,4,2,4011,0,0,1,5,5,2,4,2,3,True,False,False,False,False,False,False,True,False,False,True,False,False,2.6666666666666665,6,0
36,1,1218,9,3,2,1,3407,7,0,0,10,4,3,5,3,3,False,True,False,False,False,False,False,False,False,True,False,False,True,2.0,1,1
34,1,419,7,1,3,3,11994,0,0,0,13,4,3,12,6,11,True,False,False,False,False,False,False,False,True,False,False,False,True,2.0,6,0
21,1,391,15,3,3,1,1232,1,0,0,0,6,3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,4,0
34,1,699,6,2,3,1,2960,2,0,0,8,2,3,4,2,3,True,False,False,False,False,False,False,False,False,False,False,False,True,2.0,1,1
53,1,1282,5,3,3,5,19094,4,0,1,26,3,2,14,13,8,True,False,False,False,False,False,True,False,False,False,True,False,False,3.3333333333333335,15,0
32,2,1125,16,2,1,1,3919,1,1,0,10,5,3,10,2,7,True,False,False,False,False,False,False,False,False,False,False,False,True,1.6666666666666667,1,1
42,1,691,8,3,3,2,6825,0,0,1,10,2,3,9,7,2,False,True,True,False,False,False,False,False,False,False,False,True,False,3.0,4,0
46,1,705,2,2,3,5,18947,3,0,0,22,2,2,2,2,1,False,True,True,False,False,False,True,False,False,False,False,False,True,2.3333333333333335,5,0
33,1,924,2,3,3,1,2496,4,0,0,7,3,3,1,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6666666666666665,4,0
44,1,1459,10,4,3,2,6465,2,1,0,9,5,4,4,2,3,True,False,False,False,True,False,False,False,False,False,False,True,False,4.0,8,0
30,1,125,9,4,2,1,2206,1,0,0,10,5,3,10,0,8,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,3,0
39,1,895,5,4,3,2,2086,3,0,1,19,6,4,1,0,0,False,True,False,True,False,False,False,False,False,True,False,True,False,3.6666666666666665,8,1
24,1,813,1,2,3,1,2293,2,1,1,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,4,1
43,1,1273,2,4,4,1,2645,1,0,2,6,3,2,5,3,4,True,False,False,False,False,False,False,False,False,False,True,False,False,3.6666666666666665,3,0
50,1,869,3,1,2,1,2683,1,1,0,3,2,3,3,2,2,False,True,True,False,False,False,False,False,False,True,False,True,False,2.3333333333333335,3,1
35,1,890,2,4,3,1,2014,1,0,0,2,3,3,2,2,2,False,True,True,False,False,False,False,False,False,True,False,True,False,3.0,4,0
36,1,852,5,2,2,1,3419,9,1,1,6,3,4,1,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,2.3333333333333335,1,0
33,2,1141,1,3,4,2,5376,2,0,2,10,3,3,5,3,3,False,True,False,False,False,False,False,False,False,False,False,True,False,1.6666666666666667,2,0
35,1,464,4,3,3,1,1951,1,0,1,1,3,3,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,3.3333333333333335,4,0
27,1,1240,2,4,3,1,2341,1,0,1,1,6,3,1,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,3.0,1,0
26,1,1357,25,1,1,1,2293,1,0,0,1,2,2,1,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,2.3333333333333335,3,1
27,2,994,8,4,3,3,8726,1,0,0,9,0,3,9,8,7,False,True,False,False,False,False,False,False,False,False,False,False,True,3.6666666666666665,9,0
30,2,721,1,3,3,2,4011,1,0,0,12,2,3,12,8,7,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6666666666666665,8,0
34,0,1065,23,2,3,2,4568,0,0,0,10,2,3,9,5,7,False,True,True,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,6,0
37,1,408,19,2,3,1,3022,4,0,0,8,1,3,1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,1.6666666666666667,2,0
46,2,1211,5,1,3,2,5772,4,1,0,14,4,3,9,6,8,False,True,True,False,False,False,False,False,False,False,False,False,True,2.6666666666666665,8,0
35,1,1229,8,4,4,1,2269,1,0,0,1,2,3,1,0,1,True,False,False,False,False,True,False,False,False,False,False,True,False,4.0,4,0
48,1,626,1,1,2,3,5381,9,1,0,23,2,3,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,True,2.6666666666666665,9,1
28,1,1434,5,3,3,1,3441,1,1,0,2,3,2,2,2,2,True,False,False,True,False,True,False,False,False,False,False,False,True,3.0,3,1
44,1,1488,1,2,3,2,5454,5,1,1,9,2,2,4,3,3,False,True,True,False,False,False,False,False,False,False,True,False,False,2.0,2,0
